step_index,eligible_call_index,branch,mode,rho_before,rho_after,delta_rho,delta_rho_local,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,negative,observe,0.2682963013648987,0.2682963013648987,0.0,0.0,,,"[0,1]",False
0,0,positive,observe,0.25466617941856384,0.25466617941856384,0.0,0.0,,,"[0,1]",False
0,7,negative,observe,0.4102945923805237,0.4102945923805237,0.0,0.0,,,"[0,1]",False
0,7,positive,observe,0.40579843521118164,0.40579843521118164,0.0,0.0,,,"[0,1]",False
0,14,negative,observe,0.756716787815094,0.756716787815094,0.0,0.0,,,"[0,1]",False
0,14,positive,observe,0.6703087687492371,0.6703087687492371,0.0,0.0,,,"[0,1]",False
0,21,negative,observe,0.6791378259658813,0.6791378259658813,0.0,0.0,,,"[0,1]",False
0,21,positive,observe,0.7172912955284119,0.7172912955284119,0.0,0.0,,,"[0,1]",False
0,27,negative,observe,0.2588573098182678,0.2588573098182678,0.0,0.0,,,"[0,1]",False
0,27,positive,observe,0.23405295610427856,0.23405295610427856,0.0,0.0,,,"[0,1]",False
1,0,negative,observe,0.2766275107860565,0.2766275107860565,0.0,0.0,,,"[0,1]",False
1,0,positive,observe,0.2618964612483978,0.2618964612483978,0.0,0.0,,,"[0,1]",False
1,7,negative,observe,0.43674784898757935,0.43674784898757935,0.0,0.0,,,"[0,1]",False
1,7,positive,observe,0.45559975504875183,0.45559975504875183,0.0,0.0,,,"[0,1]",False
1,14,negative,observe,0.7699552178382874,0.7699552178382874,0.0,0.0,,,"[0,1]",False
1,14,positive,observe,0.6683620810508728,0.6683620810508728,0.0,0.0,,,"[0,1]",False
1,21,negative,observe,0.7844236493110657,0.7844236493110657,0.0,0.0,,,"[0,1]",False
1,21,positive,observe,0.719558596611023,0.719558596611023,0.0,0.0,,,"[0,1]",False
1,27,negative,observe,0.22692865133285522,0.22692865133285522,0.0,0.0,,,"[0,1]",False
1,27,positive,observe,0.21047964692115784,0.21047964692115784,0.0,0.0,,,"[0,1]",False
2,0,negative,observe,0.2779245674610138,0.2779245674610138,0.0,0.0,,,"[0,1]",False
2,0,positive,observe,0.2636171877384186,0.2636171877384186,0.0,0.0,,,"[0,1]",False
2,7,negative,observe,0.4939706027507782,0.4939706027507782,0.0,0.0,,,"[0,1]",False
2,7,positive,observe,0.45548856258392334,0.45548856258392334,0.0,0.0,,,"[0,1]",False
2,14,negative,observe,0.617587149143219,0.617587149143219,0.0,0.0,,,"[0,1]",False
2,14,positive,observe,0.5699010491371155,0.5699010491371155,0.0,0.0,,,"[0,1]",False
2,21,negative,observe,0.7125015258789062,0.7125015258789062,0.0,0.0,,,"[0,1]",False
2,21,positive,observe,0.6667290925979614,0.6667290925979614,0.0,0.0,,,"[0,1]",False
2,27,negative,observe,0.18721917271614075,0.18721917271614075,0.0,0.0,,,"[0,1]",False
2,27,positive,observe,0.16766780614852905,0.16766780614852905,0.0,0.0,,,"[0,1]",False
3,0,negative,observe,0.27480947971343994,0.27480947971343994,0.0,0.0,,,"[0,1]",False
3,0,positive,observe,0.25772833824157715,0.25772833824157715,0.0,0.0,,,"[0,1]",False
3,7,negative,observe,0.47492384910583496,0.47492384910583496,0.0,0.0,,,"[0,1]",False
3,7,positive,observe,0.45497068762779236,0.45497068762779236,0.0,0.0,,,"[0,1]",False
3,14,negative,observe,0.5660387277603149,0.5660387277603149,0.0,0.0,,,"[0,1]",False
3,14,positive,observe,0.5089686512947083,0.5089686512947083,0.0,0.0,,,"[0,1]",False
3,21,negative,observe,0.6705326437950134,0.6705326437950134,0.0,0.0,,,"[0,1]",False
3,21,positive,observe,0.6305149793624878,0.6305149793624878,0.0,0.0,,,"[0,1]",False
3,27,negative,observe,0.18867355585098267,0.18867355585098267,0.0,0.0,,,"[0,1]",False
3,27,positive,observe,0.2093103528022766,0.2093103528022766,0.0,0.0,,,"[0,1]",False
4,0,negative,observe,0.28071630001068115,0.28071630001068115,0.0,0.0,,,"[0,1]",False
4,0,positive,observe,0.26180434226989746,0.26180434226989746,0.0,0.0,,,"[0,1]",False
4,7,negative,observe,0.514371395111084,0.514371395111084,0.0,0.0,,,"[0,1]",False
4,7,positive,observe,0.47741755843162537,0.47741755843162537,0.0,0.0,,,"[0,1]",False
4,14,negative,observe,0.5156886577606201,0.5156886577606201,0.0,0.0,,,"[0,1]",False
4,14,positive,observe,0.47703754901885986,0.47703754901885986,0.0,0.0,,,"[0,1]",False
4,21,negative,observe,0.6639231443405151,0.6639231443405151,0.0,0.0,,,"[0,1]",False
4,21,positive,observe,0.6097404956817627,0.6097404956817627,0.0,0.0,,,"[0,1]",False
4,27,negative,observe,0.23559001088142395,0.23559001088142395,0.0,0.0,,,"[0,1]",False
4,27,positive,observe,0.2436264604330063,0.2436264604330063,0.0,0.0,,,"[0,1]",False
5,0,negative,observe,0.2747710943222046,0.2747710943222046,0.0,0.0,,,"[0,1]",False
5,0,positive,observe,0.25540587306022644,0.25540587306022644,0.0,0.0,,,"[0,1]",False
5,7,negative,observe,0.4932473599910736,0.4932473599910736,0.0,0.0,,,"[0,1]",False
5,7,positive,observe,0.47165852785110474,0.47165852785110474,0.0,0.0,,,"[0,1]",False
5,14,negative,observe,0.49894940853118896,0.49894940853118896,0.0,0.0,,,"[0,1]",False
5,14,positive,observe,0.46196192502975464,0.46196192502975464,0.0,0.0,,,"[0,1]",False
5,21,negative,observe,0.6667386889457703,0.6667386889457703,0.0,0.0,,,"[0,1]",False
5,21,positive,observe,0.6059554815292358,0.6059554815292358,0.0,0.0,,,"[0,1]",False
5,27,negative,observe,0.2554258704185486,0.2554258704185486,0.0,0.0,,,"[0,1]",False
5,27,positive,observe,0.2641465663909912,0.2641465663909912,0.0,0.0,,,"[0,1]",False
6,0,negative,observe,0.2726488709449768,0.2726488709449768,0.0,0.0,,,"[0,1]",False
6,0,positive,observe,0.25406962633132935,0.25406962633132935,0.0,0.0,,,"[0,1]",False
6,7,negative,observe,0.4903348684310913,0.4903348684310913,0.0,0.0,,,"[0,1]",False
6,7,positive,observe,0.47473207116127014,0.47473207116127014,0.0,0.0,,,"[0,1]",False
6,14,negative,observe,0.4972034692764282,0.4972034692764282,0.0,0.0,,,"[0,1]",False
6,14,positive,observe,0.4546635150909424,0.4546635150909424,0.0,0.0,,,"[0,1]",False
6,21,negative,observe,0.6677743196487427,0.6677743196487427,0.0,0.0,,,"[0,1]",False
6,21,positive,observe,0.6114779114723206,0.6114779114723206,0.0,0.0,,,"[0,1]",False
6,27,negative,observe,0.2911587655544281,0.2911587655544281,0.0,0.0,,,"[0,1]",False
6,27,positive,observe,0.29168036580085754,0.29168036580085754,0.0,0.0,,,"[0,1]",False
7,0,negative,observe,0.26987913250923157,0.26987913250923157,0.0,0.0,,,"[0,1]",False
7,0,positive,observe,0.24821977317333221,0.24821977317333221,0.0,0.0,,,"[0,1]",False
7,7,negative,observe,0.47905731201171875,0.47905731201171875,0.0,0.0,,,"[0,1]",False
7,7,positive,observe,0.47631826996803284,0.47631826996803284,0.0,0.0,,,"[0,1]",False
7,14,negative,observe,0.49317729473114014,0.49317729473114014,0.0,0.0,,,"[0,1]",False
7,14,positive,observe,0.454681396484375,0.454681396484375,0.0,0.0,,,"[0,1]",False
7,21,negative,observe,0.6748595237731934,0.6748595237731934,0.0,0.0,,,"[0,1]",False
7,21,positive,observe,0.611583948135376,0.611583948135376,0.0,0.0,,,"[0,1]",False
7,27,negative,observe,0.30425506830215454,0.30425506830215454,0.0,0.0,,,"[0,1]",False
7,27,positive,observe,0.29026561975479126,0.29026561975479126,0.0,0.0,,,"[0,1]",False
8,0,negative,observe,0.2698670029640198,0.2698670029640198,0.0,0.0,,,"[0,1]",False
8,0,positive,observe,0.24729984998703003,0.24729984998703003,0.0,0.0,,,"[0,1]",False
