step_index,eligible_call_index,branch,mode,rho_before,rho_after,delta_rho,delta_rho_local,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,negative,edit,0.2682963013648987,0.2478107213973999,-0.02048557996749878,-0.02048557996749878,1.1,1.0,"[0,1]",True
0,0,positive,edit,0.25466617941856384,0.23331400752067566,-0.021352171897888184,-0.021352171897888184,1.1,1.0,"[0,1]",True
0,7,negative,passthrough,0.4099727272987366,0.4099727272987366,0.0,0.0,,,"[0,1]",False
0,7,positive,passthrough,0.4052245616912842,0.4052245616912842,0.0,0.0,,,"[0,1]",False
0,14,negative,passthrough,0.7569165229797363,0.7569165229797363,0.0,0.0,,,"[0,1]",False
0,14,positive,passthrough,0.6693814992904663,0.6693814992904663,0.0,0.0,,,"[0,1]",False
0,21,negative,passthrough,0.6810423135757446,0.6810423135757446,0.0,0.0,,,"[0,1]",False
0,21,positive,passthrough,0.7182596921920776,0.7182596921920776,0.0,0.0,,,"[0,1]",False
0,27,negative,passthrough,0.25865018367767334,0.25865018367767334,0.0,0.0,,,"[0,1]",False
0,27,positive,passthrough,0.23543569445610046,0.23543569445610046,0.0,0.0,,,"[0,1]",False
1,0,negative,edit,0.27653995156288147,0.25924110412597656,-0.017298847436904907,-0.017298847436904907,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,0,positive,edit,0.26182493567466736,0.24355414509773254,-0.018270790576934814,-0.018270790576934814,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,7,negative,passthrough,0.43544867634773254,0.43544867634773254,0.0,0.0,,,"[0,1]",False
1,7,positive,passthrough,0.4548918604850769,0.4548918604850769,0.0,0.0,,,"[0,1]",False
1,14,negative,passthrough,0.7696278691291809,0.7696278691291809,0.0,0.0,,,"[0,1]",False
1,14,positive,passthrough,0.6692099571228027,0.6692099571228027,0.0,0.0,,,"[0,1]",False
1,21,negative,passthrough,0.7835288047790527,0.7835288047790527,0.0,0.0,,,"[0,1]",False
1,21,positive,passthrough,0.7180405855178833,0.7180405855178833,0.0,0.0,,,"[0,1]",False
1,27,negative,passthrough,0.2243463695049286,0.2243463695049286,0.0,0.0,,,"[0,1]",False
1,27,positive,passthrough,0.21163126826286316,0.21163126826286316,0.0,0.0,,,"[0,1]",False
2,0,negative,edit,0.2780492305755615,0.26280924677848816,-0.015239983797073364,-0.015239983797073364,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,0,positive,edit,0.26370716094970703,0.24774883687496185,-0.015958324074745178,-0.015958324074745178,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,7,negative,passthrough,0.49278828501701355,0.49278828501701355,0.0,0.0,,,"[0,1]",False
2,7,positive,passthrough,0.45421114563941956,0.45421114563941956,0.0,0.0,,,"[0,1]",False
2,14,negative,passthrough,0.6177016496658325,0.6177016496658325,0.0,0.0,,,"[0,1]",False
2,14,positive,passthrough,0.5676191449165344,0.5676191449165344,0.0,0.0,,,"[0,1]",False
2,21,negative,passthrough,0.7109773755073547,0.7109773755073547,0.0,0.0,,,"[0,1]",False
2,21,positive,passthrough,0.6679572463035583,0.6679572463035583,0.0,0.0,,,"[0,1]",False
2,27,negative,passthrough,0.18476122617721558,0.18476122617721558,0.0,0.0,,,"[0,1]",False
2,27,positive,passthrough,0.16627153754234314,0.16627153754234314,0.0,0.0,,,"[0,1]",False
3,0,negative,edit,0.27495723962783813,0.2615736722946167,-0.013383567333221436,-0.013383567333221436,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,0,positive,edit,0.25788232684135437,0.24378451704978943,-0.014097809791564941,-0.014097809791564941,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,7,negative,passthrough,0.4733172655105591,0.4733172655105591,0.0,0.0,,,"[0,1]",False
3,7,positive,passthrough,0.4532981514930725,0.4532981514930725,0.0,0.0,,,"[0,1]",False
3,14,negative,passthrough,0.5658120512962341,0.5658120512962341,0.0,0.0,,,"[0,1]",False
3,14,positive,passthrough,0.5066975355148315,0.5066975355148315,0.0,0.0,,,"[0,1]",False
3,21,negative,passthrough,0.6699988842010498,0.6699988842010498,0.0,0.0,,,"[0,1]",False
3,21,positive,passthrough,0.630996823310852,0.630996823310852,0.0,0.0,,,"[0,1]",False
3,27,negative,passthrough,0.18761056661605835,0.18761056661605835,0.0,0.0,,,"[0,1]",False
3,27,positive,passthrough,0.20860420167446136,0.20860420167446136,0.0,0.0,,,"[0,1]",False
4,0,negative,edit,0.2808173894882202,0.2700101435184479,-0.010807245969772339,-0.010807245969772339,1.0789473684210527,1.0210526315789474,"[0,1]",True
4,0,positive,edit,0.26183566451072693,0.25012657046318054,-0.011709094047546387,-0.011709094047546387,1.0789473684210527,1.0210526315789474,"[0,1]",True
4,7,negative,passthrough,0.5131863355636597,0.5131863355636597,0.0,0.0,,,"[0,1]",False
4,7,positive,passthrough,0.47654610872268677,0.47654610872268677,0.0,0.0,,,"[0,1]",False
4,14,negative,passthrough,0.5162144899368286,0.5162144899368286,0.0,0.0,,,"[0,1]",False
4,14,positive,passthrough,0.4768328070640564,0.4768328070640564,0.0,0.0,,,"[0,1]",False
4,21,negative,passthrough,0.6633467078208923,0.6633467078208923,0.0,0.0,,,"[0,1]",False
4,21,positive,passthrough,0.611278235912323,0.611278235912323,0.0,0.0,,,"[0,1]",False
4,27,negative,passthrough,0.23513254523277283,0.23513254523277283,0.0,0.0,,,"[0,1]",False
4,27,positive,passthrough,0.24247147142887115,0.24247147142887115,0.0,0.0,,,"[0,1]",False
5,0,negative,edit,0.27479371428489685,0.26556462049484253,-0.009229093790054321,-0.009229093790054321,1.0736842105263158,1.0263157894736843,"[0,1]",True
5,0,positive,edit,0.2554013431072235,0.24531935155391693,-0.01008199155330658,-0.01008199155330658,1.0736842105263158,1.0263157894736843,"[0,1]",True
5,7,negative,passthrough,0.4921025037765503,0.4921025037765503,0.0,0.0,,,"[0,1]",False
5,7,positive,passthrough,0.471112459897995,0.471112459897995,0.0,0.0,,,"[0,1]",False
5,14,negative,passthrough,0.4986926317214966,0.4986926317214966,0.0,0.0,,,"[0,1]",False
5,14,positive,passthrough,0.4607509672641754,0.4607509672641754,0.0,0.0,,,"[0,1]",False
