step_index,eligible_call_index,branch,mode,rho_before,rho_after,delta_rho,delta_rho_local,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,negative,passthrough,0.2682963013648987,0.2682963013648987,0.0,0.0,,,"[0,1]",False
0,0,positive,passthrough,0.25466617941856384,0.25466617941856384,0.0,0.0,,,"[0,1]",False
0,7,negative,edit,0.4102945923805237,0.3617877960205078,-0.04850679636001587,-0.04850679636001587,1.1,1.0,"[0,1]",True
0,7,positive,edit,0.40579843521118164,0.3738420009613037,-0.03195643424987793,-0.03195643424987793,1.1,1.0,"[0,1]",True
0,14,negative,passthrough,0.7544078230857849,0.7544078230857849,0.0,0.0,,,"[0,1]",False
0,14,positive,passthrough,0.6696149706840515,0.6696149706840515,0.0,0.0,,,"[0,1]",False
0,21,negative,passthrough,0.6775345206260681,0.6775345206260681,0.0,0.0,,,"[0,1]",False
0,21,positive,passthrough,0.7202169299125671,0.7202169299125671,0.0,0.0,,,"[0,1]",False
0,27,negative,passthrough,0.2602183222770691,0.2602183222770691,0.0,0.0,,,"[0,1]",False
0,27,positive,passthrough,0.23799312114715576,0.23799312114715576,0.0,0.0,,,"[0,1]",False
1,0,negative,passthrough,0.27687394618988037,0.27687394618988037,0.0,0.0,,,"[0,1]",False
1,0,positive,passthrough,0.26207655668258667,0.26207655668258667,0.0,0.0,,,"[0,1]",False
1,7,negative,edit,0.4373514950275421,0.38756775856018066,-0.04978373646736145,-0.04978373646736145,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,7,positive,edit,0.4576207399368286,0.4277973175048828,-0.0298234224319458,-0.0298234224319458,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,14,negative,passthrough,0.7715936899185181,0.7715936899185181,0.0,0.0,,,"[0,1]",False
1,14,positive,passthrough,0.6706469655036926,0.6706469655036926,0.0,0.0,,,"[0,1]",False
1,21,negative,passthrough,0.7832844257354736,0.7832844257354736,0.0,0.0,,,"[0,1]",False
1,21,positive,passthrough,0.7265423536300659,0.7265423536300659,0.0,0.0,,,"[0,1]",False
1,27,negative,passthrough,0.2360997349023819,0.2360997349023819,0.0,0.0,,,"[0,1]",False
1,27,positive,passthrough,0.2219422459602356,0.2219422459602356,0.0,0.0,,,"[0,1]",False
2,0,negative,passthrough,0.2788846492767334,0.2788846492767334,0.0,0.0,,,"[0,1]",False
2,0,positive,passthrough,0.2644278407096863,0.2644278407096863,0.0,0.0,,,"[0,1]",False
2,7,negative,edit,0.4955773651599884,0.4480794668197632,-0.04749789834022522,-0.04749789834022522,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,7,positive,edit,0.4566522240638733,0.42928388714790344,-0.02736833691596985,-0.02736833691596985,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,14,negative,passthrough,0.6176962852478027,0.6176962852478027,0.0,0.0,,,"[0,1]",False
2,14,positive,passthrough,0.5710022449493408,0.5710022449493408,0.0,0.0,,,"[0,1]",False
2,21,negative,passthrough,0.714967668056488,0.714967668056488,0.0,0.0,,,"[0,1]",False
2,21,positive,passthrough,0.671700119972229,0.671700119972229,0.0,0.0,,,"[0,1]",False
2,27,negative,passthrough,0.1825498640537262,0.1825498640537262,0.0,0.0,,,"[0,1]",False
2,27,positive,passthrough,0.17735937237739563,0.17735937237739563,0.0,0.0,,,"[0,1]",False
3,0,negative,passthrough,0.2755241096019745,0.2755241096019745,0.0,0.0,,,"[0,1]",False
3,0,positive,passthrough,0.2585502862930298,0.2585502862930298,0.0,0.0,,,"[0,1]",False
3,7,negative,edit,0.4667591452598572,0.43175333738327026,-0.035005807876586914,-0.035005807876586914,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,7,positive,edit,0.45760518312454224,0.4338305592536926,-0.02377462387084961,-0.02377462387084961,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,14,negative,passthrough,0.5694357752799988,0.5694357752799988,0.0,0.0,,,"[0,1]",False
3,14,positive,passthrough,0.516995906829834,0.516995906829834,0.0,0.0,,,"[0,1]",False
3,21,negative,passthrough,0.6761608719825745,0.6761608719825745,0.0,0.0,,,"[0,1]",False
3,21,positive,passthrough,0.6329681277275085,0.6329681277275085,0.0,0.0,,,"[0,1]",False
3,27,negative,passthrough,0.20558300614356995,0.20558300614356995,0.0,0.0,,,"[0,1]",False
3,27,positive,passthrough,0.21665985882282257,0.21665985882282257,0.0,0.0,,,"[0,1]",False
4,0,negative,passthrough,0.2812005877494812,0.2812005877494812,0.0,0.0,,,"[0,1]",False
4,0,positive,passthrough,0.26221802830696106,0.26221802830696106,0.0,0.0,,,"[0,1]",False
