step_index,eligible_call_index,branch,mode,rho_before,rho_after,delta_rho,delta_rho_local,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,positive,edit,0.25466617941856384,0.23331400752067566,-0.021352171897888184,-0.021352171897888184,1.1,1.0,[1],True
0,0,negative,edit,0.2682963013648987,0.2682963013648987,0.0,0.0,1.1,1.0,[1],False
0,7,positive,edit,0.4054192304611206,0.3731966018676758,-0.032222628593444824,-0.032222628593444824,1.1,1.0,[1],True
0,7,negative,edit,0.4102945923805237,0.4102945923805237,0.0,0.0,1.1,1.0,[1],False
0,14,positive,edit,0.6674546599388123,0.6144760251045227,-0.05297863483428955,-0.05297863483428955,1.1,1.0,[1],True
0,14,negative,edit,0.756716787815094,0.756716787815094,0.0,0.0,1.1,1.0,[1],False
0,21,positive,edit,0.7197351455688477,0.6876703500747681,-0.03206479549407959,-0.03206479549407959,1.1,1.0,[1],True
0,21,negative,edit,0.6791378259658813,0.6791378259658813,0.0,0.0,1.1,1.0,[1],False
0,27,positive,edit,0.24012891948223114,0.20936480164527893,-0.03076411783695221,-0.03076411783695221,1.1,1.0,[1],True
0,27,negative,edit,0.2588573098182678,0.2588573098182678,0.0,0.0,1.1,1.0,[1],False
1,0,positive,edit,0.2622157335281372,0.24384261667728424,-0.018373116850852966,-0.018373116850852966,1.0947368421052632,1.0052631578947369,[1],True
1,0,negative,edit,0.2769787907600403,0.2769787907600403,0.0,0.0,1.0947368421052632,1.0052631578947369,[1],False
1,7,positive,edit,0.45587342977523804,0.4259626269340515,-0.029910802841186523,-0.029910802841186523,1.0947368421052632,1.0052631578947369,[1],True
1,7,negative,edit,0.4360255002975464,0.4360255002975464,0.0,0.0,1.0947368421052632,1.0052631578947369,[1],False
1,14,positive,edit,0.6699448227882385,0.6261541247367859,-0.04379069805145264,-0.04379069805145264,1.0947368421052632,1.0052631578947369,[1],True
1,14,negative,edit,0.7717177867889404,0.7717177867889404,0.0,0.0,1.0947368421052632,1.0052631578947369,[1],False
1,21,positive,edit,0.7303599715232849,0.7021979093551636,-0.028162062168121338,-0.028162062168121338,1.0947368421052632,1.0052631578947369,[1],True
1,21,negative,edit,0.7841809988021851,0.7841809988021851,0.0,0.0,1.0947368421052632,1.0052631578947369,[1],False
1,27,positive,edit,0.22686877846717834,0.19958975911140442,-0.027279019355773926,-0.027279019355773926,1.0947368421052632,1.0052631578947369,[1],True
1,27,negative,edit,0.2313193678855896,0.2313193678855896,0.0,0.0,1.0947368421052632,1.0052631578947369,[1],False
2,0,positive,edit,0.264687716960907,0.24852871894836426,-0.016158998012542725,-0.016158998012542725,1.0894736842105264,1.0105263157894737,[1],True
2,0,negative,edit,0.2792472243309021,0.2792472243309021,0.0,0.0,1.0894736842105264,1.0105263157894737,[1],False
2,7,positive,edit,0.4571366310119629,0.42980554699897766,-0.02733108401298523,-0.02733108401298523,1.0894736842105264,1.0105263157894737,[1],True
2,7,negative,edit,0.49562376737594604,0.49562376737594604,0.0,0.0,1.0894736842105264,1.0105263157894737,[1],False
2,14,positive,edit,0.5730248689651489,0.5368818640708923,-0.03614300489425659,-0.03614300489425659,1.0894736842105264,1.0105263157894737,[1],True
2,14,negative,edit,0.616721510887146,0.616721510887146,0.0,0.0,1.0894736842105264,1.0105263157894737,[1],False
2,21,positive,edit,0.6721081733703613,0.6455196142196655,-0.0265885591506958,-0.0265885591506958,1.0894736842105264,1.0105263157894737,[1],True
2,21,negative,edit,0.7146093845367432,0.7146093845367432,0.0,0.0,1.0894736842105264,1.0105263157894737,[1],False
2,27,positive,edit,0.18100672960281372,0.1607448160648346,-0.020261913537979126,-0.020261913537979126,1.0894736842105264,1.0105263157894737,[1],True
2,27,negative,edit,0.186757892370224,0.186757892370224,0.0,0.0,1.0894736842105264,1.0105263157894737,[1],False
3,0,positive,edit,0.25876331329345703,0.24456696212291718,-0.014196351170539856,-0.014196351170539856,1.0842105263157895,1.0157894736842106,[1],True
3,0,negative,edit,0.2757016122341156,0.2757016122341156,0.0,0.0,1.0842105263157895,1.0157894736842106,[1],False
3,7,positive,edit,0.45914334058761597,0.4353618919849396,-0.02378144860267639,-0.02378144860267639,1.0842105263157895,1.0157894736842106,[1],True
3,7,negative,edit,0.4654720425605774,0.4654720425605774,0.0,0.0,1.0842105263157895,1.0157894736842106,[1],False
3,14,positive,edit,0.5200397968292236,0.4900051951408386,-0.03003460168838501,-0.03003460168838501,1.0842105263157895,1.0157894736842106,[1],True
3,14,negative,edit,0.5671385526657104,0.5671385526657104,0.0,0.0,1.0842105263157895,1.0157894736842106,[1],False
3,21,positive,edit,0.633784294128418,0.6106005907058716,-0.023183703422546387,-0.023183703422546387,1.0842105263157895,1.0157894736842106,[1],True
3,21,negative,edit,0.6755987405776978,0.6755987405776978,0.0,0.0,1.0842105263157895,1.0157894736842106,[1],False
