step_index,eligible_call_index,branch,mode,rho_observe,rho_edit_after,delta_rho_local,delta_rho_vs_observe,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,negative,edit,0.2682963013648987,0.2478107213973999,-0.02048557996749878,-0.02048557996749878,1.1,1.0,"[0,1]",True
0,0,positive,edit,0.25466617941856384,0.23331400752067566,-0.021352171897888184,-0.021352171897888184,1.1,1.0,"[0,1]",True
0,7,negative,passthrough,0.4102945923805237,0.4099727272987366,0.0,-0.0003218650817871094,,,"[0,1]",False
0,7,positive,passthrough,0.40579843521118164,0.4052245616912842,0.0,-0.0005738735198974609,,,"[0,1]",False
0,14,negative,passthrough,0.756716787815094,0.7569165229797363,0.0,0.00019973516464233398,,,"[0,1]",False
0,14,positive,passthrough,0.6703087687492371,0.6693814992904663,0.0,-0.000927269458770752,,,"[0,1]",False
0,21,negative,passthrough,0.6791378259658813,0.6810423135757446,0.0,0.0019044876098632812,,,"[0,1]",False
0,21,positive,passthrough,0.7172912955284119,0.7182596921920776,0.0,0.0009683966636657715,,,"[0,1]",False
0,27,negative,passthrough,0.2588573098182678,0.25865018367767334,0.0,-0.00020712614059448242,,,"[0,1]",False
0,27,positive,passthrough,0.23405295610427856,0.23543569445610046,0.0,0.0013827383518218994,,,"[0,1]",False
1,0,negative,edit,0.2766275107860565,0.25924110412597656,-0.017298847436904907,-0.017386406660079956,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,0,positive,edit,0.2618964612483978,0.24355414509773254,-0.018270790576934814,-0.018342316150665283,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,7,negative,passthrough,0.43674784898757935,0.43544867634773254,0.0,-0.0012991726398468018,,,"[0,1]",False
1,7,positive,passthrough,0.45559975504875183,0.4548918604850769,0.0,-0.0007078945636749268,,,"[0,1]",False
1,14,negative,passthrough,0.7699552178382874,0.7696278691291809,0.0,-0.0003273487091064453,,,"[0,1]",False
1,14,positive,passthrough,0.6683620810508728,0.6692099571228027,0.0,0.0008478760719299316,,,"[0,1]",False
1,21,negative,passthrough,0.7844236493110657,0.7835288047790527,0.0,-0.0008948445320129395,,,"[0,1]",False
1,21,positive,passthrough,0.719558596611023,0.7180405855178833,0.0,-0.0015180110931396484,,,"[0,1]",False
1,27,negative,passthrough,0.22692865133285522,0.2243463695049286,0.0,-0.0025822818279266357,,,"[0,1]",False
1,27,positive,passthrough,0.21047964692115784,0.21163126826286316,0.0,0.0011516213417053223,,,"[0,1]",False
2,0,negative,edit,0.2779245674610138,0.26280924677848816,-0.015239983797073364,-0.015115320682525635,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,0,positive,edit,0.2636171877384186,0.24774883687496185,-0.015958324074745178,-0.015868350863456726,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,7,negative,passthrough,0.4939706027507782,0.49278828501701355,0.0,-0.0011823177337646484,,,"[0,1]",False
2,7,positive,passthrough,0.45548856258392334,0.45421114563941956,0.0,-0.0012774169445037842,,,"[0,1]",False
2,14,negative,passthrough,0.617587149143219,0.6177016496658325,0.0,0.00011450052261352539,,,"[0,1]",False
2,14,positive,passthrough,0.5699010491371155,0.5676191449165344,0.0,-0.0022819042205810547,,,"[0,1]",False
2,21,negative,passthrough,0.7125015258789062,0.7109773755073547,0.0,-0.0015241503715515137,,,"[0,1]",False
2,21,positive,passthrough,0.6667290925979614,0.6679572463035583,0.0,0.0012281537055969238,,,"[0,1]",False
2,27,negative,passthrough,0.18721917271614075,0.18476122617721558,0.0,-0.002457946538925171,,,"[0,1]",False
2,27,positive,passthrough,0.16766780614852905,0.16627153754234314,0.0,-0.001396268606185913,,,"[0,1]",False
3,0,negative,edit,0.27480947971343994,0.2615736722946167,-0.013383567333221436,-0.013235807418823242,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,0,positive,edit,0.25772833824157715,0.24378451704978943,-0.014097809791564941,-0.01394382119178772,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,7,negative,passthrough,0.47492384910583496,0.4733172655105591,0.0,-0.001606583595275879,,,"[0,1]",False
3,7,positive,passthrough,0.45497068762779236,0.4532981514930725,0.0,-0.0016725361347198486,,,"[0,1]",False
3,14,negative,passthrough,0.5660387277603149,0.5658120512962341,0.0,-0.00022667646408081055,,,"[0,1]",False
3,14,positive,passthrough,0.5089686512947083,0.5066975355148315,0.0,-0.002271115779876709,,,"[0,1]",False
3,21,negative,passthrough,0.6705326437950134,0.6699988842010498,0.0,-0.000533759593963623,,,"[0,1]",False
3,21,positive,passthrough,0.6305149793624878,0.630996823310852,0.0,0.0004818439483642578,,,"[0,1]",False
3,27,negative,passthrough,0.18867355585098267,0.18761056661605835,0.0,-0.0010629892349243164,,,"[0,1]",False
3,27,positive,passthrough,0.2093103528022766,0.20860420167446136,0.0,-0.0007061511278152466,,,"[0,1]",False
4,0,negative,edit,0.28071630001068115,0.2700101435184479,-0.010807245969772339,-0.010706156492233276,1.0789473684210527,1.0210526315789474,"[0,1]",True
4,0,positive,edit,0.26180434226989746,0.25012657046318054,-0.011709094047546387,-0.011677771806716919,1.0789473684210527,1.0210526315789474,"[0,1]",True
4,7,negative,passthrough,0.514371395111084,0.5131863355636597,0.0,-0.0011850595474243164,,,"[0,1]",False
4,7,positive,passthrough,0.47741755843162537,0.47654610872268677,0.0,-0.0008714497089385986,,,"[0,1]",False
4,14,negative,passthrough,0.5156886577606201,0.5162144899368286,0.0,0.0005258321762084961,,,"[0,1]",False
4,14,positive,passthrough,0.47703754901885986,0.4768328070640564,0.0,-0.0002047419548034668,,,"[0,1]",False
4,21,negative,passthrough,0.6639231443405151,0.6633467078208923,0.0,-0.0005764365196228027,,,"[0,1]",False
4,21,positive,passthrough,0.6097404956817627,0.611278235912323,0.0,0.0015377402305603027,,,"[0,1]",False
4,27,negative,passthrough,0.23559001088142395,0.23513254523277283,0.0,-0.00045746564865112305,,,"[0,1]",False
4,27,positive,passthrough,0.2436264604330063,0.24247147142887115,0.0,-0.0011549890041351318,,,"[0,1]",False
5,0,negative,edit,0.2747710943222046,0.26556462049484253,-0.009229093790054321,-0.00920647382736206,1.0736842105263158,1.0263157894736843,"[0,1]",True
