step_index,eligible_call_index,branch,mode,rho_observe,rho_edit_after,delta_rho_local,delta_rho_vs_observe,alpha_lf,alpha_hf,selected_indices,edit_applied
0,0,negative,passthrough,0.2682963013648987,0.2682963013648987,0.0,0.0,,,"[0,1]",False
0,0,positive,passthrough,0.25466617941856384,0.25466617941856384,0.0,0.0,,,"[0,1]",False
0,7,negative,edit,0.4102945923805237,0.3617877960205078,-0.04850679636001587,-0.04850679636001587,1.1,1.0,"[0,1]",True
0,7,positive,edit,0.40579843521118164,0.3738420009613037,-0.03195643424987793,-0.03195643424987793,1.1,1.0,"[0,1]",True
0,14,negative,passthrough,0.756716787815094,0.7544078230857849,0.0,-0.002308964729309082,,,"[0,1]",False
0,14,positive,passthrough,0.6703087687492371,0.6696149706840515,0.0,-0.0006937980651855469,,,"[0,1]",False
0,21,negative,passthrough,0.6791378259658813,0.6775345206260681,0.0,-0.0016033053398132324,,,"[0,1]",False
0,21,positive,passthrough,0.7172912955284119,0.7202169299125671,0.0,0.0029256343841552734,,,"[0,1]",False
0,27,negative,passthrough,0.2588573098182678,0.2602183222770691,0.0,0.0013610124588012695,,,"[0,1]",False
0,27,positive,passthrough,0.23405295610427856,0.23799312114715576,0.0,0.003940165042877197,,,"[0,1]",False
1,0,negative,passthrough,0.2766275107860565,0.27687394618988037,0.0,0.00024643540382385254,,,"[0,1]",False
1,0,positive,passthrough,0.2618964612483978,0.26207655668258667,0.0,0.00018009543418884277,,,"[0,1]",False
1,7,negative,edit,0.43674784898757935,0.38756775856018066,-0.04978373646736145,-0.04918009042739868,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,7,positive,edit,0.45559975504875183,0.4277973175048828,-0.0298234224319458,-0.02780243754386902,1.0947368421052632,1.0052631578947369,"[0,1]",True
1,14,negative,passthrough,0.7699552178382874,0.7715936899185181,0.0,0.0016384720802307129,,,"[0,1]",False
1,14,positive,passthrough,0.6683620810508728,0.6706469655036926,0.0,0.0022848844528198242,,,"[0,1]",False
1,21,negative,passthrough,0.7844236493110657,0.7832844257354736,0.0,-0.001139223575592041,,,"[0,1]",False
1,21,positive,passthrough,0.719558596611023,0.7265423536300659,0.0,0.006983757019042969,,,"[0,1]",False
1,27,negative,passthrough,0.22692865133285522,0.2360997349023819,0.0,0.009171083569526672,,,"[0,1]",False
1,27,positive,passthrough,0.21047964692115784,0.2219422459602356,0.0,0.011462599039077759,,,"[0,1]",False
2,0,negative,passthrough,0.2779245674610138,0.2788846492767334,0.0,0.0009600818157196045,,,"[0,1]",False
2,0,positive,passthrough,0.2636171877384186,0.2644278407096863,0.0,0.0008106529712677002,,,"[0,1]",False
2,7,negative,edit,0.4939706027507782,0.4480794668197632,-0.04749789834022522,-0.045891135931015015,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,7,positive,edit,0.45548856258392334,0.42928388714790344,-0.02736833691596985,-0.026204675436019897,1.0894736842105264,1.0105263157894737,"[0,1]",True
2,14,negative,passthrough,0.617587149143219,0.6176962852478027,0.0,0.00010913610458374023,,,"[0,1]",False
2,14,positive,passthrough,0.5699010491371155,0.5710022449493408,0.0,0.0011011958122253418,,,"[0,1]",False
2,21,negative,passthrough,0.7125015258789062,0.714967668056488,0.0,0.002466142177581787,,,"[0,1]",False
2,21,positive,passthrough,0.6667290925979614,0.671700119972229,0.0,0.004971027374267578,,,"[0,1]",False
2,27,negative,passthrough,0.18721917271614075,0.1825498640537262,0.0,-0.004669308662414551,,,"[0,1]",False
2,27,positive,passthrough,0.16766780614852905,0.17735937237739563,0.0,0.009691566228866577,,,"[0,1]",False
3,0,negative,passthrough,0.27480947971343994,0.2755241096019745,0.0,0.0007146298885345459,,,"[0,1]",False
3,0,positive,passthrough,0.25772833824157715,0.2585502862930298,0.0,0.0008219480514526367,,,"[0,1]",False
3,7,negative,edit,0.47492384910583496,0.43175333738327026,-0.035005807876586914,-0.0431705117225647,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,7,positive,edit,0.45497068762779236,0.4338305592536926,-0.02377462387084961,-0.02114012837409973,1.0842105263157895,1.0157894736842106,"[0,1]",True
3,14,negative,passthrough,0.5660387277603149,0.5694357752799988,0.0,0.003397047519683838,,,"[0,1]",False
3,14,positive,passthrough,0.5089686512947083,0.516995906829834,0.0,0.008027255535125732,,,"[0,1]",False
3,21,negative,passthrough,0.6705326437950134,0.6761608719825745,0.0,0.005628228187561035,,,"[0,1]",False
3,21,positive,passthrough,0.6305149793624878,0.6329681277275085,0.0,0.002453148365020752,,,"[0,1]",False
3,27,negative,passthrough,0.18867355585098267,0.20558300614356995,0.0,0.01690945029258728,,,"[0,1]",False
